"scholarship_name","scholarship_url","scholarship_university","scholarship_deadline","scholarship_country","scholarship_Start_date","scholarship_program"
"Eiffel Scholarships in France for International Students","https://www.scholars4dev.com/2282/eiffel-scholarships-for-international-students/","French Government","7 Jan 2022 (annual)","Study in: France","Course starts AY 2022-2023","Masters/PhD Degree"
"Radboud Scholarship Programme for International Students","https://www.scholars4dev.com/6127/radboud-university-scholarships-for-international-students/","Radboud University","28 February 2022 (annual)","Study in: Netherlands","Course starts September 2022","Masters Degree"
"ENS International Selection Scholarships","https://www.scholars4dev.com/10324/ens-international-selection-scholarships/","École Normale Supérieure","9/12 Dec 2021 (annual)","Study in: France","Course starts September 2022","Masters Degree"
"Utrecht Excellence Scholarships for International Students","https://www.scholars4dev.com/2776/utrecht-excellence-scholarships-for-international-students/","Utrecht University","31 Jan 2022 (annual)","Study in: Netherlands","Next course starts Sept 2022","Masters Degree"
"Danish State Tuition Fee Waivers and Scholarships at Roskilde University","https://www.scholars4dev.com/10967/danish-state-tuition-fee-waivers-and-scholarships-at-roskilde-university/","Roskilde University","15 Jan 2022 (annual)","Study in: Denmark","Next course starts Sept 2022","Masters Degree"
"Holland Scholarship for Non-EEA International Students","https://www.scholars4dev.com/15082/holland-scholarship-for-non-eu-international-students/","Nuffic Netherlands","1 Feb/1 May 2022 (annual)","Study in: Netherlands","Course starts 2022","Bachelors/Masters Degree"
"ETH Zurich Excellence Masters Scholarships","https://www.scholars4dev.com/9763/eth-zurich-excellence-masters-scholarship-program/","ETH Zurich","15 Dec 2021 (annual)","Study in: Switzerland","Course starts Fall 2022","Masters Degree"
"EPFL Excellence Fellowships","https://www.scholars4dev.com/13349/epfl-excellence-fellowships/","EPFL","15 Dec/15 April (annual)","Study in: Switzerland","Next course starts September 2022","Masters Degree"
"University of Twente Scholarships (UTS)","https://www.scholars4dev.com/1494/masters-scholarships-for-non-eu-students-at-university-of-twente/","University of Twente","1 Feb 2022 (annual)","Study in: Netherlands","Course starts Sept 2022","Masters Degree"
